SKU,Product Name,Category,Color / Finish,Material,Price,Photo,Shot Idea,Notes
HG-024,Berry Colander,Kitchen,Dusty Blue,Stoneware,$26,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-024.jpg,,
HG-025,Pillar Candle Set (3),Decor,Cream Clay Sage,Soy blend,$38,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-025.jpg,holiday mantel with evergreen,
HG-026,Candle Holder,Decor,Charcoal,Stoneware,$24,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-026.jpg,,
HG-027,Table Lamp,Decor,Sage Cream,Ceramic + linen shade,$120,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-027.jpg,"cozy shelf corner, lamp actually lit",
HG-028,Sculptural Vessel,Decor,Terracotta,Stoneware,$68,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-028.jpg,,
HG-029,Incense Holder,Decor,Dusty Blue,Stoneware,$18,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-029.jpg,,
HG-030,Bookend Pair,Decor,Ochre,Stoneware,$46,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-030.jpg,,
HG-032,Decorative Bowl,Decor,Forest,Stoneware,$40,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-032.jpg,,discontinued after spring?
HG-033,Hanging Wall Planter,Decor,Clay Pink,Stoneware,$36,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-033.jpg,,plant not included lol
HG-034,Soap Dispenser,Bath,Sage,Stoneware,$26,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-034.jpg,bathroom counter next to a towel,bathroom set w/ the towels?
HG-035,Bath Towel,Bath,Ochre,Organic cotton,$34,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-035.jpg,,
HG-036,Bath Tray,Bath,Charcoal,Stoneware,$30,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-036.jpg,,
HG-037,Storage Jar w/ Lid,Bath,Cream Wood,Stoneware + oak,$28,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-037.jpg,,
HG-038,Hand Towel,Bath,Clay Pink,Organic cotton,$18,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-038.jpg,,
HG-040,Soap Dish,Bath,Terracotta,Stoneware,$14,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-040.jpg,,
HG-041,Ribbed Tumbler Set (4),Glassware,Smoke,Recycled glass,$38,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-041.jpg,iced drinks on a patio table,"El: smoke glass photographs badly, careful"
HG-042,Carafe,Glassware,Amber,Recycled glass,$44,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-042.jpg,holiday dinner table,
HG-043,Bud Vase,Glassware,Dusty Blue,Recycled glass,$22,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-043.jpg,,photo slightly underexposed?
HG-044,Wine Glass Set (4),Glassware,Sage Stem,Recycled glass,$48,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-044.jpg,candlelit holiday table,holiday table story?
HG-045,Glass Storage Jar,Glassware,Green Tint,Recycled glass,$24,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-045.jpg,,
